0.000333	0.043794
0.000667	0.043340
0.001000	0.043333
0.001333	0.042411
0.001667	0.043051
0.002000	0.043233
0.002333	0.042932
0.002667	0.042235
0.003000	0.042402
0.003333	0.041591
0.003667	0.040523
0.004000	0.041223
0.004333	0.041376
0.004667	0.042314
0.005000	0.042037
0.005333	0.042601
0.005667	0.042841
0.006000	0.043359
0.006333	0.043937
0.006667	0.044722
0.007000	0.044306
0.007333	0.045447
0.007667	0.045616
0.008000	0.044368
0.008333	0.045350
0.008667	0.046635
0.009000	0.046606
0.009333	0.050118
0.009667	0.054897
0.010000	0.062452
0.010333	0.070580
0.010667	0.079614
0.011000	0.088417
0.011333	0.095878
0.011667	0.098593
0.012000	0.099361
0.012333	0.100911
0.012667	0.103818
0.013000	0.106862
0.013333	0.107889
0.013667	0.106396
0.014000	0.106053
0.014333	0.104846
0.014667	0.103623
0.015000	0.103138
0.015333	0.101421
0.015667	0.100805
0.016000	0.098622
0.016333	0.098345
0.016667	0.097645
0.017000	0.096330
0.017333	0.094704
0.017667	0.092914
0.018000	0.092159
0.018333	0.090421
0.018667	0.088243
0.019000	0.088337
0.019333	0.086469
0.019667	0.085039
0.020000	0.084197
0.020333	0.084031
0.020667	0.082923
0.021000	0.082590
0.021333	0.080820
0.021667	0.080303
0.022000	0.080706
0.022333	0.079246
0.022667	0.078692
0.023000	0.077033
0.023333	0.075854
0.023667	0.074489
0.024000	0.073272
0.024333	0.072975
0.024667	0.072102
0.025000	0.070117
0.025333	0.070201
0.025667	0.069150
0.026000	0.069968
0.026333	0.069399
0.026667	0.069523
0.027000	0.069002
0.027333	0.069104
0.027667	0.069450
0.028000	0.068467
0.028333	0.069173
0.028667	0.067842
0.029000	0.067822
0.029333	0.067228
0.029667	0.066473
0.030000	0.065334
0.030333	0.064499
0.030667	0.064007
0.031000	0.062329
0.031333	0.062183
0.031667	0.061965
0.032000	0.061564
0.032333	0.060807
0.032667	0.061457
0.033000	0.060233
0.033333	0.060911
0.033667	0.060436
0.034000	0.060557
0.034333	0.060094
0.034667	0.061146
0.035000	0.061434
0.035333	0.061121
0.035667	0.060027
0.036000	0.060506
0.036333	0.059500
0.036667	0.059425
0.037000	0.059150
0.037333	0.058353
0.037667	0.057278
0.038000	0.056447
0.038333	0.055657
0.038667	0.056027
0.039000	0.055277
0.039333	0.055701
0.039667	0.055248
0.040000	0.055345
0.040333	0.055941
0.040667	0.055898
0.041000	0.056727
0.041333	0.056447
0.041667	0.056581
0.042000	0.056449
0.042333	0.055938
0.042667	0.057197
0.043000	0.056099
0.043333	0.056839
0.043667	0.056336
0.044000	0.054815
0.044333	0.054789
0.044667	0.054610
0.045000	0.053521
0.045333	0.052873
0.045667	0.053053
0.046000	0.052663
0.046333	0.051924
0.046667	0.051805
0.047000	0.051498
0.047333	0.051815
0.047667	0.051452
0.048000	0.050548
0.048333	0.051139
0.048667	0.050681
0.049000	0.051402
0.049333	0.051341
0.049667	0.051520
0.050000	0.051530
0.050333	0.052446
0.050667	0.052305
0.051000	0.051896
0.051333	0.051700
0.051667	0.052034
0.052000	0.052651
0.052333	0.052372
